id,type,UniprotID,Entrez_ID
EGFR,Gene,P00533,P00533
EDNRA,Gene,P25101,P25101
PROK2,Gene,Q9HC23,Q9HC23
ABHD6,Gene,Q9BV23,Q9BV23
NTSR1,Gene,P30989,P30989
TRPC3,Gene,Q13507,Q13507
RORC,Gene,,
HTR1B,Gene,P28222,P28222
NPSR1,Gene,Q6W5P4,Q6W5P4
GPR37L1,Gene,O60883,O60883
HTR2C,Gene,P28335,P28335
HLA-F,Gene,P30511,P30511
TRPC7,Gene,Q9HCX4,Q9HCX4
HEBP1,Gene,Q9NRV9,Q9NRV9
OPN4,Gene,Q9UHM6,Q9UHM6
PENK,Gene,P01210,P01210
PRKX,Gene,P51817,P51817
CCL28,Gene,Q9NRJ3,Q9NRJ3
KLKB1,Gene,,
PTGER3,Gene,P43115,P43115
APLN,Gene,Q9ULZ1,Q9ULZ1
TRIM6,Gene,Q9C030,Q9C030
DHODH,Gene,,
TRPC6,Gene,Q9Y210,Q9Y210
