MoleculeType	Identifier	MoleculeName	
Proteins	Q9Y6N6	UniProt:Q9Y6N6 LAMC3	
Proteins	P25391	UniProt:P25391 LAMA1	
Proteins	Q16363	UniProt:Q16363 LAMA4	
Proteins	P17301	UniProt:P17301 ITGA2	
Proteins	P05556	UniProt:P05556 ITGB1	
Proteins	P26006	UniProt:P26006 ITGA3	
Proteins	Q68CZ2	UniProt:Q68CZ2 TNS3	
Proteins	Q8IZW8	UniProt:Q8IZW8 TNS4	
Proteins	P26927	UniProt:P26927 MST1	
Proteins	Q04912	UniProt:Q04912 MST1R	
Proteins	P29376	UniProt:P29376 LTK	
Proteins	P29353-1	UniProt:P29353-1 SHC1	
Proteins	P62993	UniProt:P62993 GRB2	
Proteins	Q07912	UniProt:Q07912 TNK2	
Proteins	P16234	UniProt:P16234 PDGFRA	
Proteins	P04085-2	UniProt:P04085-2 PDGFA	
Proteins	P01127	UniProt:P01127 PDGFB	
Proteins	P04085-1	UniProt:P04085-1 PDGFA	
Proteins	P09619	UniProt:P09619 PDGFRB	
Proteins	Q9GZP0	UniProt:Q9GZP0 PDGFD	
Proteins	Q9NRA1-1	UniProt:Q9NRA1-1 PDGFC	
Proteins	P42226	UniProt:P42226 STAT6	
Proteins	P51692	UniProt:P51692 STAT5B	
Proteins	P42224	UniProt:P42224 STAT1	
Proteins	Q14451	UniProt:Q14451 GRB7	
Proteins	P00750	UniProt:P00750 PLAT	
Proteins	P00747	UniProt:P00747 PLG	
Proteins	Q05209	UniProt:Q05209 PTPN12	
Proteins	Q14050	UniProt:Q14050 COL9A3	
Proteins	Q14055	UniProt:Q14055 COL9A2	
Proteins	P20849	UniProt:P20849 COL9A1	
Proteins	A8TX70	UniProt:A8TX70 COL6A5	
Proteins	A6NMZ7	UniProt:A6NMZ7 COL6A6	
Proteins	P12111	UniProt:P12111 COL6A3	
Proteins	P12109	UniProt:P12109 COL6A1	
Proteins	P12110	UniProt:P12110 COL6A2	
Proteins	Q01955	UniProt:Q01955 COL4A3	
Proteins	P29400	UniProt:P29400 COL4A5	
Proteins	P53420	UniProt:P53420 COL4A4	
Proteins	P02462	UniProt:P02462 COL4A1	
Proteins	P08572	UniProt:P08572 COL4A2	
Proteins	P10451	UniProt:P10451 SPP1	
Proteins	P07996	UniProt:P07996 THBS1	
Proteins	P35442	UniProt:P35442 THBS2	
Proteins	P49746	UniProt:P49746 THBS3	
Proteins	P35443	UniProt:P35443 THBS4	
Proteins	P01135	UniProt:P01135 TGFA	
Proteins	Q6UW88	UniProt:Q6UW88 EPGN	
Proteins	P15514	UniProt:P15514 AREG	
Proteins	Q9H4H8	UniProt:Q9H4H8 FAM83D	
Proteins	Q86UY5	UniProt:Q86UY5 FAM83A	
Proteins	Q5T0W9	UniProt:Q5T0W9 FAM83B	
Proteins	Q15262	UniProt:Q15262 PTPRK	
Proteins	Q14155	UniProt:Q14155 ARHGEF7	
Proteins	O43609	UniProt:O43609 SPRY1	
Proteins	Q9Y6I3	UniProt:Q9Y6I3 EPN1	
Proteins	Q9UBC2	UniProt:Q9UBC2 EPS15L1	
Proteins	P26045	UniProt:P26045 PTPN3	
Proteins	O43184	UniProt:O43184 ADAM12	
Proteins	O14672	UniProt:O14672 ADAM10	
Proteins	Q9NWQ8	UniProt:Q9NWQ8 PAG1	
Proteins	P41240	UniProt:P41240 CSK	
Proteins	P08069	UniProt:P08069 IGF1R	
Proteins	P05019	UniProt:P05019 IGF1	
Proteins	P01344	UniProt:P01344 IGF2	
Proteins	O75339	UniProt:O75339 CILP	
Proteins	O14654	UniProt:O14654 IRS4	
Proteins	Q99570	UniProt:Q99570 PIK3R4	
Proteins	Q8NEB9	UniProt:Q8NEB9 PIK3C3	
Proteins	Q9NR96	UniProt:Q9NR96 TLR9	
Proteins	P36888	UniProt:P36888 FLT3	
Proteins	P49771	UniProt:P49771 FLT3LG	
Proteins	Q9UQC2	UniProt:Q9UQC2 GAB2	
Proteins	Q13370	UniProt:Q13370 PDE3B	
Proteins	P01308	UniProt:P01308 INS	
Proteins	P06213	UniProt:P06213 INSR	
Proteins	Q13322	UniProt:Q13322 GRB10	
Proteins	Q15904	UniProt:Q15904 ATP6AP1	
Proteins	Q99437	UniProt:Q99437 ATP6V0B	
Proteins	P27449	UniProt:P27449 ATP6V0C	
Proteins	Q8NHE4	UniProt:Q8NHE4 ATP6V0E2	
Proteins	O15342	UniProt:O15342 ATP6V0E1	
Proteins	Q8N8Y2	UniProt:Q8N8Y2 ATP6V0D2	
Proteins	P61421	UniProt:P61421 ATP6V0D1	
Proteins	Q9HBG4	UniProt:Q9HBG4 ATP6V0A4	
Proteins	Q13488	UniProt:Q13488 TCIRG1	
Proteins	Q93050	UniProt:Q93050 ATP6V0A1	
Proteins	Q9Y487	UniProt:Q9Y487 ATP6V0A2	
Proteins	Q16864	UniProt:Q16864 ATP6V1F	
Proteins	Q9Y5K8	UniProt:Q9Y5K8 ATP6V1D	
Proteins	Q9UI12	UniProt:Q9UI12 ATP6V1H	
Proteins	Q8NEY4	UniProt:Q8NEY4 ATP6V1C2	
Proteins	P21283	UniProt:P21283 ATP6V1C1	
Proteins	P36543	UniProt:P36543 ATP6V1E1	
Proteins	Q96A05	UniProt:Q96A05 ATP6V1E2	
Proteins	Q96LB4	UniProt:Q96LB4 ATP6V1G3	
Proteins	O95670	UniProt:O95670 ATP6V1G2	
Proteins	O75348	UniProt:O75348 ATP6V1G1	
Proteins	P15313	UniProt:P15313 ATP6V1B1	
Proteins	P21281	UniProt:P21281 ATP6V1B2	
Proteins	P38606	UniProt:P38606 ATP6V1A	
Proteins	P07339	UniProt:P07339 CTSD	
